id,SMILES,Tg,FFV,Tc,Density,Rg,MW,NRings,HBranches,numRotate,MV,VDWV
218059466.0,*/C(=C(/*)c1ccccc1)c1ccccc1,206.5698859,,,,,178.07825032,2,0,2,543.2131185193512,196.64654971044052
,*/C(=C(\c1ccccc1)c1ccc(*)cc1)c1ccccc1,,,0.338,,,254.109550448,3,1,3,705.3676091888575,271.4100060389461
38242048.0,*/C(F)=C(\F)C(F)(C(*)(F)F)C(F)(F)F,,,0.102,,,211.98722576,0,6,2,388.972751521006,130.8401118847412
686833175.0,*/C=C(/*)C#CCCCCCCCCCCCCCCCCCCCCC(=O)O,,,0.4105,0.885736749,15.06400186,374.31848058399993,0,1,20,1097.3083143061385,403.9400884803217
1620933064.0,*/C=C(/*)CCCCCCCCCCCCCCCCCCCCC(=O)O,,,0.403,0.868463517,14.07855526,350.31848058399993,0,1,21,998.7858817651505,371.8047643772783
783150586.0,*/C=C(\C#N)C(=O)Nc1cccc(NC(=O)/C(C#N)=C/c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccc(N(c5ccccc5)c5ccc(/C=C/c6ccc(*)s6)cc5)cc4)cc3)s2)c1,243.9892983,,,,,890.2497664560001,8,6,15,2128.7300331963356,839.6733765313388
933916766.0,*/C=C/*,59.5588378,,0.394,0.775000418,34.67290561,26.015650064,0,0,0,174.41975160153575,46.41332158584242
1576399281.0,*/C=C/C(C(=O)OC(C)C)C(*)C(=O)OC(C)C,,,,0.971892426,13.10146733,226.120509056,0,5,6,644.7385917846927,223.4246294637928
980179181.0,*/C=C/C(C)(C)C(*)(C)C,,,,0.820729949,15.50648001,110.109550448,0,3,2,387.2048773686725,134.41482177986921
722656060.0,*/C=C/C(C)C(*)C,,,,0.801255092,16.53077558,82.07825032,0,1,2,326.81351075183574,106.07604436988657
,*/C=C/C(C)C(*)C(=O)OC,,,0.189,,,126.06807956,0,2,3,399.88697677881294,132.9762528473618
2089130160.0,*/C=C/C(C)CCCCC*,,,0.248666667,,,124.12520051199999,0,1,6,446.1972821259357,151.71398146682753
293363115.0,*/C=C/C(C*)C(C)CC,,,0.203,0.82398912,14.35476002,110.109550448,0,2,4,386.6906198552071,134.61639057904497
393235817.0,*/C=C/C(C*)CCC,,,0.218,0.803760264,13.41293322,96.093900384,0,1,4,360.57499917953254,120.42178460395773
748600767.0,*/C=C/C1CCC(*)C1,,,0.260333333,,,94.07825032,1,0,1,340.2694958116644,112.34793113737528
1639915624.0,*/C=C/CC*,,,0.248666667,0.841158465,19.29341066,54.046950192,0,0,2,254.75645993774353,76.73048312328365
1693536620.0,*/C=C/CCC*,,,0.26655,0.834588519,18.18601938,68.062600256,0,0,3,292.780837741118,91.36837697564926
313210022.0,*/C=C/CCCCC*,,,0.314333333,0.823772683,18.69881957,96.093900384,0,0,5,373.4846642605456,123.68501568371562
431336110.0,*/C=C/CCCCCC*,,,0.33,0.820824647,19.38675152,110.109550448,0,0,6,417.10614097331063,138.4937064257869
