id,SMILES,Tg,FFV,Tc,Density,Rg,MW,NRings,HBranches,numRotate,MV,VDWV,DM,Longest_Path_Length
218059466.0,*/C(=C(/*)c1ccccc1)c1ccccc1,206.5698859,,,,,178.07825032,2,0,2,530.9189899316858,192.34882402599703,0.27476584216784733,8
,*/C(=C(\c1ccccc1)c1ccc(*)cc1)c1ccccc1,,,0.338,,,254.109550448,3,1,3,686.585256063562,265.2450763420134,0.29064892185003316,8
38242048.0,*/C(F)=C(\F)C(F)(C(*)(F)F)C(F)(F)F,,,0.102,,,211.98722576,0,6,2,373.50431451197454,126.08261012390223,3.5605304952389116,5
686833175.0,*/C=C(/*)C#CCCCCCCCCCCCCCCCCCCCCC(=O)O,,,0.4105,0.885736749,15.06400186,374.31848058399993,0,1,20,1073.254376360812,397.4220350434236,1.7616898176381781,26
1620933064.0,*/C=C(/*)CCCCCCCCCCCCCCCCCCCCC(=O)O,,,0.403,0.868463517,14.07855526,350.31848058399993,0,1,21,1007.0803565970702,369.4909915109692,1.4302494757297564,24
783150586.0,*/C=C(\C#N)C(=O)Nc1cccc(NC(=O)/C(C#N)=C/c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccc(N(c5ccccc5)c5ccc(/C=C/c6ccc(*)s6)cc5)cc4)cc3)s2)c1,243.9892983,,,,,890.2497664560001,8,6,15,2097.9243626097996,836.1323276315463,7.393403368087248,40
933916766.0,*/C=C/*,59.5588378,,0.394,0.775000418,34.67290561,26.015650064,0,0,0,160.59095881947883,41.55039790856083,0.07104277734113075,3
1576399281.0,*/C=C/C(C(=O)OC(C)C)C(*)C(=O)OC(C)C,,,,0.971892426,13.10146733,226.120509056,0,5,6,627.1572685655907,218.51523588910075,0.4743833557496768,8
980179181.0,*/C=C/C(C)(C)C(*)(C)C,,,,0.820729949,15.50648001,110.109550448,0,3,2,377.1213651808485,130.80240058464267,0.13131380279384575,5
722656060.0,*/C=C/C(C)C(*)C,,,,0.801255092,16.53077558,82.07825032,0,1,2,319.03772523401,102.55798679324766,0.08448122752799882,5
,*/C=C/C(C)C(*)C(=O)OC,,,0.189,,,126.06807956,0,2,3,393.427417307167,129.69754585907268,0.5189157653049737,7
2089130160.0,*/C=C/C(C)CCCCC*,,,0.248666667,,,124.12520051199999,0,1,6,429.70528825862897,147.60041534112682,0.09487907521678027,9
293363115.0,*/C=C/C(C*)C(C)CC,,,0.203,0.82398912,14.35476002,110.109550448,0,2,4,383.3571559165794,131.59012176109573,0.20238006414244128,6
393235817.0,*/C=C/C(C*)CCC,,,0.218,0.803760264,13.41293322,96.093900384,0,1,4,360.371827624037,117.94921164186351,0.09260824774338382,6
748600767.0,*/C=C/C1CCC(*)C1,,,0.260333333,,,94.07825032,1,0,1,330.06158520825113,109.38131963286312,0.16202216440677758,7
1639915624.0,*/C=C/CC*,,,0.248666667,0.841158465,19.29341066,54.046950192,0,0,2,238.34720686476626,71.28551340569439,0.2132949290618689,5
1693536620.0,*/C=C/CCC*,,,0.26655,0.834588519,18.18601938,68.062600256,0,0,3,271.60164671642616,85.95472894449637,0.13404665033912896,6
313210022.0,*/C=C/CCCCC*,,,0.314333333,0.823772683,18.69881957,96.093900384,0,0,5,359.95587955075865,117.75281914960065,0.1904814192341113,8
431336110.0,*/C=C/CCCCCC*,,,0.33,0.820824647,19.38675152,110.109550448,0,0,6,399.6972912930683,133.46640291160878,0.18103682811527422,9
853471397.0,*/C=C/CCCCCCC(Cl)CCCCCC*,,,0.3405,0.903154394,19.54188854,242.18012854399998,0,1,13,709.1991505112873,257.24530293949675,1.431538706778851,16
